trade_id,timestamp_entry,timestamp_exit,date,month,symbol,playbook,direction,trade_type,quality,entry_price,exit_price,stop_loss,take_profit_1,position_size,duration_minutes,risk_pct,pnl_dollars,risk_dollars,r_multiple,risk_tier,pnl_R_account,cumulative_R,outcome,exit_reason,session_label,killzone_label,match_score,match_grade,grade_thresholds,score_scale_hint,mc_high,mc_low,mc_range,mc_breakout_dir,mc_window_minutes,mc_session_date,peak_r,mae_r,tp_reason,structure_alignment_tf,structure_alignment_last_pivot_type
150f94de-2981-4484-8c27-9c64055f523b,2025-08-18 13:34:00+00:00,2025-08-18 13:52:00+00:00,2025-08-18,2025-08,QQQ,Morning_Trap_Reversal,LONG,DAILY,C,577.555,575.922445,575.922445,578.9100206499999,86.0,18.0,0.02,-202.17972999999236,2000.0,-0.10108986499999618,2,-0.20217972999999237,-0.20217972999999237,loss,SL,ny,ny_open,0.425,C,"{'A_plus': 0.8, 'A': 0.65, 'B': 0.5}",0-1,,,,,,,0.027564155572140116,-1.019873756167513,fixed_rr,,
f6c5a3c8-f006-449e-9040-fe687d01eaf7,2025-08-18 13:39:00+00:00,2025-08-18 13:52:00+00:00,2025-08-18,2025-08,QQQ,Morning_Trap_Reversal,LONG,DAILY,C,577.335,575.922665,575.922665,578.5072380500001,86.0,13.0,0.02,-183.24080999999867,2000.0,-0.09162040499999934,2,-0.18324080999999867,-0.38542053999999104,loss,SL,ny,ny_open,0.425,C,"{'A_plus': 0.8, 'A': 0.65, 'B': 0.5}",0-1,,,,,,,0.1309887526684161,-1.023128365437425,fixed_rr,,
ba02f0a4-d1af-49d4-b517-010916d163a0,2025-08-19 13:34:00+00:00,2025-08-19 14:44:00+00:00,2025-08-19,2025-08,QQQ,Morning_Trap_Reversal,SHORT,DAILY,B,574.09,571.6007553000001,577.0890899999999,571.6007553000001,86.0,70.0,0.02,152.6850441999976,1000.0,0.1526850441999976,2,0.1526850441999976,-0.23273549579999345,win,TP1,ny,ny_open,0.57,B,"{'A_plus': 0.8, 'A': 0.65, 'B': 0.5}",0-1,,,,,,,0.853592256317795,-0.5034860574374348,fixed_rr,,
cc109107-d24b-4d08-afa2-d76d2858cf6b,2025-08-19 13:49:00+00:00,2025-08-19 14:55:00+00:00,2025-08-19,2025-08,QQQ,Morning_Trap_Reversal,SHORT,DAILY,A+,573.68,572.3134200000001,577.1336799999999,570.8134456,172.0,66.0,0.02,114.25175999998027,1000.0,0.11425175999998026,2,0.11425175999998026,-0.11848373580001319,win,SL,ny,ny_open,0.825,A+,"{'A_plus': 0.8, 'A': 0.65, 'B': 0.5}",0-1,576.56,573.92,2.6399999999999864,SHORT,15.0,2025-08-19,0.6456880776446945,-0.5356605128442827,fixed_rr,,
77e14008-c791-4e87-b1f2-b0dcc282158f,2025-08-20 13:34:00+00:00,2025-08-20 13:42:00+00:00,2025-08-20,2025-08,QQQ,Morning_Trap_Reversal,SHORT,DAILY,A,566.95,566.4317375,568.19695,565.9150315,131.0,8.0,0.02,-23.597612500001105,1000.0,-0.023597612500001107,2,-0.023597612500001107,-0.1420813483000143,loss,SL,ny,ny_open,0.789,A,"{'A_plus': 0.8, 'A': 0.65, 'B': 0.5}",0-1,,,,,,,0.6656241228598268,-0.617506716387987,fixed_rr,,
d18905d8-2be4-485b-a172-b7b9727b9b14,2025-08-20 13:39:00+00:00,2025-08-20 13:45:00+00:00,2025-08-20,2025-08,QQQ,Morning_Trap_Reversal,SHORT,DAILY,B,566.67,565.4028638999999,568.19667,565.4028638999999,88.0,6.0,0.02,49.45797680000142,1000.0,0.04945797680000142,2,0.04945797680000142,-0.09262337150001287,win,TP1,ny,ny_open,0.525,B,"{'A_plus': 0.8, 'A': 0.65, 'B': 0.5}",0-1,,,,,,,0.9563297896728469,-0.40611265040904165,fixed_rr,,
e8e35294-8978-426c-8d66-bf6650fd8ee0,2025-08-21 13:34:00+00:00,2025-08-21 13:46:00+00:00,2025-08-21,2025-08,QQQ,Morning_Trap_Reversal,SHORT,DAILY,A+,563.975,562.6520007500001,565.568975,562.6520007500001,176.0,12.0,0.02,111.34786799999165,1000.0,0.11134786799999165,2,0.11134786799999165,0.018724496499978774,win,TP1,ny,ny_open,0.8324999999999999,A+,"{'A_plus': 0.8, 'A': 0.65, 'B': 0.5}",0-1,,,,,,,1.0069166705876929,-0.6932354647971379,fixed_rr,,
10e6d787-dcce-4acb-ac39-95986d4a025b,2025-08-21 13:34:00+00:00,2025-08-21 13:46:00+00:00,2025-08-21,2025-08,SPY,Morning_Trap_Reversal,SHORT,DAILY,B,635.8972,634.5287813239999,637.5458972000001,634.5287813239999,78.0,12.0,0.02,45.01665672801144,1000.0,0.04501665672801144,2,0.04501665672801144,0.0637411532279902,win,TP1,ny,ny_open,0.57,B,"{'A_plus': 0.8, 'A': 0.65, 'B': 0.5}",0-1,,,,,,,0.9626995181407044,-0.36537940381043993,fixed_rr,,
d6064274-cdf7-4c64-a699-90bf31fdf709,2025-08-22 13:34:00+00:00,2025-08-22 13:40:00+00:00,2025-08-22,2025-08,SPY,Morning_Trap_Reversal,SHORT,DAILY,A,637.67,638.94534,638.94534,636.6114677999999,117.0,6.0,0.02,-241.23478000000333,1000.0,-0.2412347800000033,2,-0.2412347800000033,-0.1774936267720131,loss,SL,ny,ny_open,0.73,A,"{'A_plus': 0.8, 'A': 0.65, 'B': 0.5}",0-1,,,,,,,0.06272837047369757,-1.011494973889354,fixed_rr,,
1d98064f-92c5-4668-bf2f-c0ccaf1d5fa7,2025-08-22 13:39:00+00:00,2025-08-22 23:59:00+00:00,2025-08-22,2025-08,SPY,Morning_Trap_Reversal,LONG,DAILY,A,638.53,645.5,625.7593999999999,649.129598,78.0,620.0,0.02,481.3100000000021,1000.0,0.4813100000000021,2,0.4813100000000021,0.30381637322798904,win,eod,ny,ny_open,0.7324999999999999,A,"{'A_plus': 0.8, 'A': 0.65, 'B': 0.5}",0-1,,,,,,,0.6240897060435681,-0.03210499115154858,fixed_rr,,
